,src_drug,tar_drug,label
0,DB00140,DB00460,0
1,DB09000,DB00460,0
2,DB11630,DB00460,0
3,DB09536,DB00460,0
4,DB00821,DB00460,0
5,DB00855,DB00460,0
6,DB01600,DB00460,0
7,DB06261,DB00460,0
8,DB09076,DB01337,1
9,DB00366,DB01247,1
10,DB00657,DB06148,1
11,DB00391,DB00387,1
12,DB00986,DB06148,1
13,DB06153,DB00752,1
14,DB00340,DB06148,1
15,DB09076,DB01090,1
16,DB01036,DB06148,1
17,DB01409,DB00908,1
18,DB00391,DB00810,1
19,DB00986,DB00424,1
20,DB01409,DB00517,1
21,DB01062,DB06148,1
22,DB00986,DB01116,1
23,DB08897,DB00967,1
24,DB01409,DB01090,1
25,DB06153,DB01037,1
26,DB00366,DB01168,1
27,DB00434,DB01037,1
28,DB00434,DB00614,1
29,DB00391,DB00376,1
30,DB00496,DB06148,1
31,DB00986,DB00979,1
32,DB01337,DB06148,1
33,DB08897,DB00670,1
34,DB09076,DB00387,1
35,DB01409,DB00657,1
36,DB00366,DB00614,1
37,DB01409,DB00810,1
38,DB00283,DB01171,1
39,DB09076,DB00657,1
40,DB09076,DB00332,1
41,DB01071,DB00780,1
42,DB09076,DB01591,1
43,DB01071,DB00752,1
44,DB09076,DB00986,1
45,DB08897,DB11315,1
46,DB00986,DB00462,1
47,DB00986,DB00332,1
48,DB01071,DB01367,1
49,DB00391,DB12278,1
50,DB00366,DB00752,1
51,DB00434,DB01171,1
52,DB00391,DB00572,1
53,DB00283,DB01247,1
54,DB08897,DB00747,1
55,DB08897,DB09300,1
56,DB09076,DB01409,1
57,DB09076,DB00670,1
58,DB00391,DB00209,1
59,DB00391,DB01591,1
60,DB00391,DB00517,1
61,DB00391,DB01337,1
62,DB00391,DB00986,1
63,DB00283,DB00752,1
64,DB00391,DB00496,1
65,DB00245,DB06148,1
66,DB00283,DB09241,1
67,DB01409,DB00392,1
68,DB00732,DB06148,1
69,DB01409,DB00424,1
70,DB01409,DB00804,1
71,DB09076,DB00376,1
72,DB00391,DB01116,1
73,DB01071,DB01037,1
74,DB00986,DB00940,1
75,DB08897,DB00804,1
76,DB09076,DB01062,1
77,DB09076,DB01338,1
78,DB06153,DB01626,1
79,DB09076,DB01116,1
80,DB08897,DB00392,1
81,DB01409,DB01199,1
82,DB00986,DB00245,1
83,DB00986,DB01036,1
84,DB00986,DB00340,1
85,DB00219,DB06148,1
86,DB00391,DB00967,1
87,DB01071,DB09244,1
