RepresentationNumber,ATCcode,nodrugsInATC,noTotalCategoriesTested,pvalOneTailedWilcoxonSumRank,MedianThisCAT,MedianAllPairs,p.adjust
1,G,50,14,7.68503e-06,10.69911,0.00328,9.78094727272727e-05
1,L,129,14,0.000419977,2.89192,0.00328,0.00489973166666667
2,C,111,14,2.03579e-11,10.69591,3.0021,7.125265e-10
4,D,45,14,3.14415e-11,17.76707,0,8.232e-10
4,S,47,14,5.10613e-08,11.23965,0,8.9357275e-07
5,N,142,14,1.29867e-14,6.614,0,6.06046e-13
6,R,46,14,5.6393e-07,15.7743,5.47933,8.77224444444444e-06
7,J,105,14,6.87953e-10,11.90379,6.69392,1.375906e-08
8,N,142,14,2.48163e-33,16.00069,0.10781,3.474282e-31
9,J,105,14,2.16729e-06,6.20446,0,3.034206e-05
9,L,129,14,3.528e-11,6.7006,0,8.232e-10
10,L,129,14,4.54972e-19,10.81153,0.00391,3.184804e-17
