RepresentationNumber,ATCcode,nodrugsInATC,noTotalCategoriesTested,pvalOneTailedWilcoxonSumRank,MedianThisCAT,MedianAllPairs,p.adjust
1,L02A,7,162,6.2922e-05,31.37028,0.00328,0.00485398285714286
1,L02B,13,162,4.51736e-09,29.64227,0.00328,1.46362464e-06
2,C01B,10,162,0.000174531,17.21516,3.0021,0.009424674
2,C07A,15,162,0.000108893,12.52061,3.0021,0.0070509
2,C09A,10,162,5.67883e-05,17.91068,3.0021,0.0045998523
4,D06B,6,162,0.000403234,17.01573,0,0.01814553
4,D07A,11,162,7.02458e-05,16.1808,0,0.00494774765217391
4,D10A,8,162,2.04937e-06,27.47264,0,0.00027666495
4,L01X,49,162,0.000198577,3.81401,0,0.0103772496774194
4,N02C,9,162,0.000570294,8.24281,0,0.0232173135
4,R01A,15,162,0.000629576,12.01931,0,0.0237189097674419
4,S01A,13,162,0.00106598,11.63874,0,0.0392474454545455
4,S01B,9,162,0.000614258,16.1808,0,0.0236928085714286
4,S01E,11,162,6.90918e-05,20.18578,0,0.00494774765217391
5,N02C,9,162,3.89807e-05,16.33356,0,0.00371463141176471
5,N03A,20,162,1.07599e-07,24.09307,0,2.17887975e-05
5,N04B,13,162,0.00015549,14.92453,0,0.00868599310344828
5,N05A,14,162,0.000483755,4.24849,0,0.0206232394736842
5,N06A,23,162,3.05725e-05,27.86601,0,0.003095465625
5,N06D,4,162,0.000573267,38.44691,0,0.0232173135
6,A10A,4,162,0.000363978,22.81797,5.47933,0.0168469817142857
6,A10B,16,162,0.000438599,15.12496,5.47933,0.0192035237837838
6,C10A,14,162,0.000211507,17.91878,5.47933,0.010707541875
6,R01A,15,162,2.16351e-05,18.67977,5.47933,0.00250349014285714
6,R03B,14,162,6.66131e-08,19.10951,5.47933,1.7985537e-05
7,A02B,10,162,0.000349984,12.80505,6.69392,0.0166757082352941
7,J01D,12,162,0.000602127,12.67834,6.69392,0.0236928085714286
7,J01M,10,162,0.00114425,14.03494,6.69392,0.041193
7,J05A,46,162,0.000113054,11.12754,6.69392,0.0070509
8,N02C,9,162,0.000114082,14.24467,0.10781,0.0070509
8,N03A,20,162,3.86991e-09,20.25138,0.10781,1.46362464e-06
8,N04B,13,162,1.22736e-06,16.1698,0.10781,0.00019883232
8,N05A,14,162,7.79889e-08,24.00412,0.10781,1.80488597142857e-05
8,N05B,6,162,0.00030768,22.96611,0.10781,0.0151042909090909
8,N06A,23,162,6.1336e-10,18.01532,0.10781,4.968216e-07
9,J02A,9,162,0.000117515,16.59311,0,0.0070509
9,J05A,46,162,3.5014e-07,8.9464,0,6.30252e-05
9,L01X,49,162,2.21753e-12,14.11266,0,3.5923986e-09
9,L04A,17,162,0.00012391,16.36899,0,0.00716907857142857
10,B01A,21,162,5.62279e-05,13.04659,0.00391,0.0045998523
10,L01A,13,162,4.30686e-05,19.8088,0.00391,0.003876174
10,L01B,13,162,1.39629e-06,22.64639,0.00391,0.000205635436363636
10,L01C,8,162,7.38803e-06,27.98539,0.00391,0.0009206622
10,L01D,7,162,2.87043e-05,22.0701,0.00391,0.003095465625
10,L01X,49,162,1.00266e-09,9.96936,0.00391,5.414364e-07
