CID	GenericName	ATC	
51263	alfentanil	N01AH02
3002190	telithromycin	J01FA15
24873435	simeprevir	J05AP05
4735	pentamidine.isethionate	P01CX01
5852	penicillamine	M01CC01
60825	lamivudine	J05AF05
60822	atorvastatin	C10AA05
121892	retigabine	N03AX21
5284583	levetiracetam	N03AX14
2266	azelaic.acid	D10AX03
2267	azelastine	R06AX19|S01GX07|R01AC03
2265	azathioprine	L04AX01
2441	bromazepam	N05BA08
9433	aminophylline	R03DA05
10631	medroxyprogesterone	G03DA02|G03AC06|L02AB02
10413	sodium.oxybate	N01AX11|N07XX04
163296	tipranavir	J05AE09
3052762	prucalopride	A06AX05
60648	tiagabine	N03AG06
3519	guanfacine	C02AC02
3085017	sevelamer	V03AE02
41693	sufentanil	N01AH03
62886	cisatracurium	M03AC11
6321411	cefixime	J01DD08
441383	terconazole	G01AG02
6323490	rifabutin	J04AB04
54373	octreotide	H01CB02
3348	fexofenadine	R06AX26
5453	thiotepa	L01AC01
474409	rasburicase	V03AF07
3345	fentanyl	N02AB03|N01AH01
157920	lubiprostone	A06AX03
157921	methyl.aminolevulinate	L01XD03
5533	trazodone	N06AX05
451668	decitabine	L01BC08
208898	dronedarone	C01BD07
7187	benzoyl.peroxide	D10AE01
3062316	dasatinib	L01XE06
44146714	insulin.glargine	A10AE04
5625	delavirdine	J05AG02
110635	tadalafil	G04BE08
110634	vardenafil	G04BE09
55331	moexipril	C09AA13
4033	chlormethine	L01AA05
6451164	rilpivirine	J05AG05
1549007	terbinafine	D01BA02|D01AE15
460612	melphalan	L01AA03
4725	penciclovir	J05AB13|D06BB06
32797	clobetasol	D07AD01
65866	lercanidipine	C08CA13
60837	irinotecan	L01XX19
60834	duloxetine	N06AX21
60830	tiotropium.bromide	R03BB04
9930048	vernakalant	C01BG11
3749	irbesartan	C09CA04
3746	ipratropium.bromide	R01AX03|R03BB01
10184653	afatinib	L01XE13
247	betaine	A16AA06
5284594	nalmefene	N07BB05
5311309	nateglinide	A10BX03
54671203	doxycycline	J01AA02|A01AB22
448812	eptifibatide	B01AC16
150610	ertapenem	J01DH03
6435378	iloprost	B01AC11
4828	pindolol	C07AA03
4829	pioglitazone	A10BG03
3690	ifosfamide	L01AA06
6442177	everolimus	L04AA18|L01XE10
3696	imipramine	N06AA02
216237	tolvaptan	C03XA01
5277135	elvitegravir	J05AX11
37542	ribavirin	J05AP01
444030	darifenacin	G04BD10
20469	beclometasone	R03BA01|D07AC15|A07EA07|R01AD01
444013	gadoversetamide	V08CA06
16157882	exenatide	A10BJ01
46216142	dolutegravir	J05AX12
193962	etravirine	J05AG04
6436173	rifaximin	D06AX11|A07AA11
1548999	cetirizine	R06AE07
3355	flecainide	C01BC04
41684	nitazoxanide	P01AX11
54746	cabergoline	G02CB03|N04BC06
123606	almotriptan	N02CC05
9690109	armodafinil	N06BA13
82148	agomelatine	N06AX22
92253	levobupivacaine	N01BB10
3005572	toremifene	L02BA02
3324	famciclovir	J05AB09|S01AD07
5281081	entacapone	N04BX02
10077129	vorapaxar	B01AC26
3826	ketorolac	M01AB15|S01BC05
65981	repaglinide	A10BX02
60934	saquinavir	J05AE01
1775	phenytoin	N03AB02
65856	reboxetine	N06AX18
3086257	porfimer.sodium	L01XD01
154058	solifenacin	G04BD08
4634	oxybutynin	G04BD04
16230	amiloride	C03DB01
12035	acetylcysteine	V03AB23|S01XA08|R05CB01
101526	moxifloxacin	S01AE07|J01MA14
3010818	telaprevir	J05AP02
60795	aripiprazole	N05AX12
3086674	iodine.ioflupane.(123I)	V09AB03
4659569	tolcapone	N04BX01
2732	chlortalidone	C03BA04
5291	imatinib	L01XE01
5484727	trandolapril	C09AA10
5288169	erythropoietin	B03XA01
14888	arsenic.trioxide	L01XX27
60464	sparfloxacin	J01MA09
9869929	avanafil	G04BE10
104865	bosentan	C02KX01
23652731	eliglustat	A16AX10
16136912	oritavancin	J01XA05
1978	acebutolol	C07AB04
134780	pomalidomide	L04AX06
41781	torasemide	C03CA04
54684141	teriflunomide	L04AA31
20279	cladribine	L01BB04
16132265	corticotropin	H01AA01
5479	tinidazole	P01AB02|J01XD02
445643	tacrolimus	L04AD02|D11AH01
160051	colesevelam	C10AC04
18381	dicloxacillin	J01CF01
3032	diclofenac	M02AA15|D11AX18|S01BC03|M01AB05
34312	oxcarbazepine	N03AF02
25126797	ruxolitinib	L01XE18
47528	nicorandil	C01DX16
6433212	alprostadil	G04BE01|C01EA01
45375808	sofosbuvir	J05AP08
151165	aprepitant	A04AD12
9865528	mirabegron	G04BD12
70695640	colestyramine	C10AC01
31100	bromocriptine	G02CB01|N04BC01
55480	milnacipran	N06AX17
392622	ritonavir	J05AE03
5388961	enalapril	C09AA02
11658859	lorcaserin	A08AA11
65999	telmisartan	C09CA07
6918250	ofatumumab	L01XC10
11167602	regorafenib	L01XE21
53320414	eribulin	L01XX41
6167	colchicine	M04AC01
60814	remifentanil	N01AH06
51634	miglustat	A16AX06
4740	pentoxifylline	C04AD03
65840	colestilan	V03AE06
64139	efavirenz	J05AG03
3475	gliclazide	A10BB09
2182	anagrelide	L01XX35
2187	anastrozole	L02BG03
4609	oxaliplatin	L01XA03
2216	apraclonidine	S01EA03
3011155	nelarabine	L01BB07
5280965	amphotericin.B	A07AA07|J02AA01|A01AB04|G01AA03
104741	fulvestrant	L02BA03
2435	brimonidine	S01EA05|D11AX21
16220172	ivacaftor	R07AX02
4510	glyceryl.trinitrate	C01DA02|C05AE01
11556711	carfilzomib	L01XX45
24812758	canagliflozin	A10BK02
3784	isradipine	C08CA03
6918204	gadobenic.acid	V08CA08
6238	hydroxyprogesterone	G03DA03
4991	pyridostigmine	N07AA02
4999	quazepam	N05CD10
3715	indometacin	S01BC01|M01AB01|M02AA23|C01EB03
16134956	liraglutide	A10BJ02
10182969	apixaban	B01AF02
71348	lanreotide	H01CB03
71616	voriconazole	J02AC03
3331	felbamate	N03AX10
1548954	clomifene	G03GB02
5468	tiaprofenic.acid	M01AE11
3339	fenofibrate	C10AB05
2099	alosetron	A03AE01
16129703	desirudin	B01AE01
25077993	histrelin	L02AE05
6006	calcium.folinate	V03AF03
47641	naftifine	D01AE22
4195	midodrine	C01CA17
4192	midazolam	N05CD08
50599	didanosine	J05AF02
151171	conivaptan	C03XA02
16130199	enfuvirtide	J05AX07
11597697	lisdexamfetamine	N06BA12
5361092	butorphanol	N02AF01
5352062	romidepsin	L01XX39
39147	nadolol	C07AA12
24822371	florbetapir.(18F)	V09AX05
82153	flunisolide	R03BA03|R01AD04
30323	daunorubicin	L01DB02
131535	fosamprenavir	J05AE07
4775	sodium.phenylbutyrate	A16AX03
4170	metolazone	C03BA08
4171	metoprolol	C07AB02
4173	metronidazole	G01AF01|D06BX01|P01AB01|A01AB17|J01XD01
9571107	gemifloxacin	J01MA15
4178	mexiletine	C01BB02
9924495	perampanel	N03AX22
16132418	insulin.aspart	A10AB05|A10AD05
10096344	linagliptin	A10BH05
3081884	glatiramer.acetate	L03AX13
25244225	dalteparin	B01AB04
154100	dexmethylphenidate	N06BA11
104758	raltitrexed	L01BA03
44201342	tesamorelin	H01AC06
16362	pimozide	N05AG02
2088	alendronic.acid	M05BA04
2082	albendazole	P02CA03
2083	salbutamol	R03AC02|R03CC02
5311221	latanoprost	S01EE01
10482134	glycerol.phenylbutyrate	A16AX09
5329102	sunitinib	L01XE04
163091	asenapine	N05AH05
5078	rizatriptan	N02CC04
5073	risperidone	N05AX08
5070	riluzole	N07XX02
5071	rimantadine	J05AC02
2405	bisoprolol	C07AB07
2153	theophylline	R03DA04
2159	amisulpride	N05AL05
5381	tazarotene	D05AX05
121749	ustekinumab	L04AC05
54687	pravastatin	C10AA03
5481173	ceftazidime	J01DD02
71158	acamprosate	N07BB03
1548943	capsaicin	M02AB01|N01BX04
10113978	pazopanib	L01XE11
5253	sotalol	C07AA07
83898	cevimeline	N07AX03
28417	danazol	G03XA01
6251	mannitol	B05BC01|B05CX04|A06AD16|R05CB16
3016	diazepam	N05BA01
36294	tobramycin	S01AA12|J01GB01
5481350	tenofovir.disoproxil	J05AF07
123631	gefitinib	L01XE02
47811	pergolide	N04BC02
1003	sodium.phosphate	B05XA09|A06AD17|A06AG01
4189	miconazole	S02AA13|J02AB01|G01AF04|D01AC02|A07AC01|A01AB09
4184	mianserin	N06AX03
5665	vigabatrin	N03AG04
446596	mupirocin	R01AX06|D06AX09
2881	cromoglicic.acid	S01GX01|A07EB01|D11AH03|R03BC01|R01AC01
208908	lapatinib	L01XE07
208902	ramelteon	N05CH02
3878	lamotrigine	N03AX09
5719	zaleplon	N05CF03
5717	zafirlukast	R03DC01
51038	cefaclor	J01DC04
644241	nilotinib	L01XE08
6337614	palonosetron	A04AA05
