CID	GenericName	ATC	AdmR
51263	alfentanil	N01AH02	nan
3002190	telithromycin	J01FA15	O
24873435	simeprevir	J05AP05	O
4735	pentamidine.isethionate	P01CX01	P
5852	penicillamine	M01CC01	O
60825	lamivudine	J05AF05	O
60822	atorvastatin	C10AA05	O
121892	retigabine	N03AX21	O
5284583	levetiracetam	N03AX14	O
5284583	levetiracetam	N03AX14	P
2266	azelaic.acid	D10AX03	nan
2267	azelastine	R06AX19	O
2267	azelastine	S01GX07	nan
2267	azelastine	R01AC03	N
2265	azathioprine	L04AX01	O
2265	azathioprine	L04AX01	P
2441	bromazepam	N05BA08	O
9433	aminophylline	R03DA05	O
9433	aminophylline	R03DA05	P
9433	aminophylline	R03DA05	R
10631	medroxyprogesterone	G03DA02	O
10631	medroxyprogesterone	G03DA02	P
10631	medroxyprogesterone	G03AC06	P
10631	medroxyprogesterone	L02AB02	O
10631	medroxyprogesterone	L02AB02	P
10413	sodium.oxybate	N01AX11	nan
10413	sodium.oxybate	N07XX04	O
163296	tipranavir	J05AE09	O
3052762	prucalopride	A06AX05	O
60648	tiagabine	N03AG06	O
3519	guanfacine	C02AC02	O
3085017	sevelamer	V03AE02	O
41693	sufentanil	N01AH03	nan
62886	cisatracurium	M03AC11	nan
6321411	cefixime	J01DD08	O
441383	terconazole	G01AG02	V
6323490	rifabutin	J04AB04	O
54373	octreotide	H01CB02	P
3348	fexofenadine	R06AX26	O
5453	thiotepa	L01AC01	nan
474409	rasburicase	V03AF07	P
3345	fentanyl	N02AB03	N
3345	fentanyl	N02AB03	SL
3345	fentanyl	N02AB03	TD
3345	fentanyl	N01AH01	nan
157920	lubiprostone	A06AX03	nan
157921	methyl.aminolevulinate	L01XD03	nan
5533	trazodone	N06AX05	O
451668	decitabine	L01BC08	nan
208898	dronedarone	C01BD07	O
7187	benzoyl.peroxide	D10AE01	nan
3062316	dasatinib	L01XE06	nan
44146714	insulin.glargine	A10AE04	P
